Band:0, Mean: 2957.363472057075, Median: 2780.0, Std Deviation: 354.910267391568, Min: 2560, Max: 4536, Percentile: [2602. 2780. 3179.] 
Band:1, Mean: 4091.3212366230678, Median: 4106.0, Std Deviation: 230.38452645389697, Min: 2709, Max: 5744, Percentile: [3889. 4106. 4247.] 
Band:2, Mean: 4277.50225921522, Median: 4237.0, Std Deviation: 257.82150838350486, Min: 3649, Max: 6361, Percentile: [4066. 4237. 4479.] 
Band:3, Mean: 4169.956670630202, Median: 4126.0, Std Deviation: 280.75457687962245, Min: 2810, Max: 6362, Percentile: [3954. 4126. 4350.] 
Band:4, Mean: 4516.678668252081, Median: 4478.0, Std Deviation: 346.0277543859175, Min: 3840, Max: 7153, Percentile: [4214. 4478. 4772.] 
Band:5, Mean: 4790.59514863258, Median: 4754.0, Std Deviation: 414.37228293634894, Min: 4056, Max: 7980, Percentile: [4425. 4754. 5093.] 
Band:6, Mean: 4848.31757431629, Median: 4808.0, Std Deviation: 469.2365077366924, Min: 4004, Max: 8284, Percentile: [4421. 4808. 5198.] 
Band:7, Mean: 4714.732508917955, Median: 4666.0, Std Deviation: 491.71665475904626, Min: 3865, Max: 8128, Percentile: [4263. 4666. 5100.] 
Band:8, Mean: 4668.904827586207, Median: 4632.0, Std Deviation: 533.2201742470169, Min: 3775, Max: 8194, Percentile: [4173. 4632. 5084.] 
Band:9, Mean: 4439.065541022592, Median: 4404.0, Std Deviation: 539.8953554168514, Min: 2792, Max: 7928, Percentile: [3940. 4404. 4860.] 
Band:10, Mean: 4407.192580261593, Median: 4362.0, Std Deviation: 596.177708674763, Min: 2700, Max: 7990, Percentile: [3872. 4362. 4871.] 
Band:11, Mean: 4307.541831153389, Median: 4294.0, Std Deviation: 674.2238242647314, Min: 2594, Max: 7918, Percentile: [3794. 4294. 4815.] 
Band:12, Mean: 4148.396670630202, Median: 4200.0, Std Deviation: 758.7186830680247, Min: 2560, Max: 7700, Percentile: [3726. 4200. 4703.] 
Band:13, Mean: 4400.474625445898, Median: 4352.0, Std Deviation: 641.2062543955645, Min: 2600, Max: 7960, Percentile: [3902. 4352. 4855.] 
Band:14, Mean: 4470.958810939358, Median: 4399.0, Std Deviation: 634.4595339201525, Min: 2665, Max: 7948, Percentile: [3958. 4399. 4924.] 
Band:15, Mean: 4447.711105826397, Median: 4373.0, Std Deviation: 669.6120399212199, Min: 2614, Max: 7924, Percentile: [3931. 4373. 4926.] 
Band:16, Mean: 4286.070059453032, Median: 4263.0, Std Deviation: 780.7223530316664, Min: 2560, Max: 7698, Percentile: [3817. 4263. 4834.] 
Band:17, Mean: 4070.359239001189, Median: 4100.0, Std Deviation: 852.0076832416884, Min: 2560, Max: 7522, Percentile: [3610. 4100. 4702.] 
Band:18, Mean: 3967.3248989298454, Median: 3978.0, Std Deviation: 851.7067320744268, Min: 2560, Max: 7415, Percentile: [3196. 3978. 4631.] 
Band:19, Mean: 3861.227491082045, Median: 3863.0, Std Deviation: 862.0995449724031, Min: 2560, Max: 7307, Percentile: [3056. 3863. 4552.] 
Band:20, Mean: 3833.674863258026, Median: 3820.0, Std Deviation: 876.9509199619597, Min: 2560, Max: 7271, Percentile: [2996. 3820. 4545.] 
Band:21, Mean: 3810.3507728894174, Median: 3783.0, Std Deviation: 903.4322543472771, Min: 2560, Max: 7311, Percentile: [2926. 3783. 4547.] 
Band:22, Mean: 3742.2101307966705, Median: 3702.0, Std Deviation: 913.7110051250698, Min: 2521, Max: 7229, Percentile: [2835. 3702. 4498.] 
Band:23, Mean: 3657.676242568371, Median: 3616.0, Std Deviation: 917.4368648618403, Min: 2452, Max: 7084, Percentile: [2765. 3616. 4433.] 
Band:24, Mean: 3651.536837098692, Median: 3605.0, Std Deviation: 948.528180794195, Min: 2398, Max: 7081, Percentile: [2741. 3605. 4457.] 
Band:25, Mean: 3562.264066587396, Median: 3243.0, Std Deviation: 964.2745224121795, Min: 2289, Max: 7000, Percentile: [2676. 3243. 4403.] 
Band:26, Mean: 3453.2743400713434, Median: 3129.0, Std Deviation: 957.5076207209603, Min: 2211, Max: 6786, Percentile: [2607. 3129. 4301.] 
Band:27, Mean: 3489.048133174792, Median: 3150.0, Std Deviation: 1019.4386699422217, Min: 2178, Max: 6963, Percentile: [2586. 3150. 4395.] 
Band:28, Mean: 3465.9700356718195, Median: 3120.0, Std Deviation: 1033.8763186843887, Min: 2139, Max: 6903, Percentile: [2561. 3120. 4390.] 
Band:29, Mean: 3250.7860642092746, Median: 2943.0, Std Deviation: 921.3451534479424, Min: 2054, Max: 6317, Percentile: [2453. 2943. 4087.] 
